NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,datetime,feed_window
18.258,5.454,0.024096,25.66432,11.09024,24.2136,2022-02-01 14:40:00,1
12.546,5.757,0.054216,25.28988,6.04022,30.1644,2022-02-01 15:00:00,2
1.02,5.555,0.05522,24.72316,6.4363,35.2944,2022-02-01 16:20:00,2
24.072,5.151,0.003012,24.67256,6.9314,35.2944,2022-02-01 16:40:00,2
2.652,6.06,0.06526,24.3892,7.32748,34.884,2022-02-01 18:00:00,1
20.91,6.06,0.092368,24.35884,9.01082,19.1862,2022-02-01 18:20:00,1
28.152,5.353,0.01506,24.34872,7.62454,30.267,2022-02-01 18:40:00,1
20.094,6.06,0.051204,24.17668,9.60494,28.0098,2022-02-01 19:00:00,1
16.524,5.454,0.028112,24.07548,8.81278,34.4736,2022-02-01 19:40:00,1
19.482,5.05,0.017068,23.99452,9.20886,26.7786,2022-02-01 20:00:00,1
0.306,5.454,0.083332,23.51888,7.9216,26.5734,2022-02-01 20:40:00,1
1.734,5.252,0.061244,23.41768,9.50592,28.8306,2022-02-01 21:20:00,1
21.624,5.353,0.01004,22.96228,8.81278,23.1876,2022-02-01 22:00:00,1
23.052,5.656,0.04518,22.84084,9.80298,24.8292,2022-02-01 22:40:00,1
30.192,5.757,0.098392,22.67892,11.8824,33.2424,2022-02-01 23:20:00,1
0.918,5.959,0.049196,22.94204,10.29808,33.6528,2022-02-01 23:40:00,1
25.194,5.757,0.00502,22.80036,6.4363,21.4434,2022-02-02 00:40:00,2
25.092,5.353,0.067268,22.79024,9.10984,34.9866,2022-02-02 01:00:00,1
24.582,5.151,0.002008,22.38544,9.10984,30.6774,2022-02-02 01:40:00,1
0.204,5.454,0.031124,22.14256,11.48632,21.3408,2022-02-02 02:20:00,1
7.242,5.656,0.094376,22.05148,10.49612,31.9086,2022-02-02 02:40:00,1
15.3,5.757,0.077308,21.93004,6.63434,28.4202,2022-02-02 03:00:00,2
3.978,5.353,0.019076,21.87944,10.00102,32.2164,2022-02-02 03:20:00,1
6.834,5.05,0.064256,21.8086,8.51572,21.2382,2022-02-02 03:40:00,1
5.1,5.353,0.019076,21.758,6.4363,34.4736,2022-02-02 04:00:00,2
20.604,5.353,0.05522,21.71752,6.13924,35.2944,2022-02-02 04:20:00,2
28.764,5.555,0.012048,21.6062,10.19906,22.4694,2022-02-02 04:40:00,1
24.99,5.454,0.061244,22.18304,11.58534,34.1658,2022-02-02 05:20:00,1
5.916,5.454,0.049196,23.4278,7.22846,23.7006,2022-02-02 07:00:00,2
26.826,5.252,0.077308,23.60996,10.79318,25.0344,2022-02-02 08:20:00,1
14.79,5.757,0.04016,23.60996,6.73336,28.5228,2022-02-02 08:40:00,2
17.748,5.555,0.03012,24.04512,7.22846,21.033,2022-02-02 09:40:00,2
1.53,5.858,0.056224,24.27788,6.33728,29.241,2022-02-02 10:20:00,2
19.278,5.959,0.083332,24.30824,10.49612,31.806,2022-02-02 10:40:00,1
12.75,5.858,0.097388,24.31836,9.4069,24.9318,2022-02-02 11:00:00,1
21.522,5.858,0.078312,24.794,10.99122,24.9318,2022-02-02 11:20:00,1
15.402,5.353,0.077308,24.80412,7.9216,20.4174,2022-02-02 11:40:00,1
13.77,5.353,0.031124,25.11784,9.30788,32.319,2022-02-02 12:00:00,1
28.05,5.05,0.021084,25.38096,9.10984,22.6746,2022-02-02 12:20:00,1
9.894,5.656,0.09538,25.64408,10.99122,22.059,2022-02-02 12:40:00,1
8.364,5.757,0.071284,26.03876,9.902,27.5994,2022-02-02 13:00:00,1
1.734,5.151,0.008032,26.30188,7.03042,30.8826,2022-02-02 13:40:00,2
8.67,5.858,0.054216,26.13996,6.13924,30.78,2022-02-02 14:40:00,2
24.99,5.151,0.014056,26.04888,10.59514,19.9044,2022-02-02 15:00:00,1
28.05,5.555,0.011044,25.92744,8.9118,28.0098,2022-02-02 15:20:00,1
23.97,5.454,0.009036,25.91732,6.4363,30.3696,2022-02-02 15:40:00,2
29.274,5.05,0.026104,25.56312,11.3873,28.8306,2022-02-02 16:20:00,1
15.708,5.757,0.093372,25.52264,7.22846,28.8306,2022-02-02 16:40:00,2
17.136,5.151,0.062248,25.11784,6.53532,23.2902,2022-02-02 17:00:00,2
29.172,5.656,0.019076,25.047,10.00102,24.7266,2022-02-02 17:20:00,1
6.936,5.151,0.096384,24.87496,6.13924,20.3148,2022-02-02 17:40:00,2
8.262,5.151,0.049196,24.83448,6.73336,25.137,2022-02-02 18:00:00,2
25.602,5.959,0.083332,24.541,9.70396,29.3436,2022-02-02 18:20:00,1
3.978,5.05,0.08534,24.52076,11.78338,32.6268,2022-02-02 18:40:00,1
5.304,5.858,0.00502,24.2374,11.48632,20.52,2022-02-02 19:20:00,1
15.606,5.959,0.022088,24.22728,7.22846,24.5214,2022-02-02 19:40:00,2
9.384,5.353,0.041164,24.17668,8.9118,31.7034,2022-02-02 20:00:00,1
4.998,5.555,0.03012,24.1362,9.01082,35.1918,2022-02-02 20:20:00,1
26.112,6.06,0.03012,23.96416,10.29808,32.832,2022-02-02 20:40:00,1
24.786,5.05,0.023092,23.782,8.31768,35.1918,2022-02-02 21:00:00,1
5.508,6.06,0.067268,23.75164,11.09024,31.9086,2022-02-02 21:20:00,1
20.094,5.05,0.041164,23.62008,6.73336,27.4968,2022-02-02 21:40:00,2
23.46,5.555,0.037148,23.53912,6.23826,19.6992,2022-02-02 22:00:00,2
1.53,5.05,0.009036,23.48852,9.60494,20.52,2022-02-02 22:20:00,1
18.564,5.656,0.041164,23.41768,7.32748,25.4448,2022-02-02 22:40:00,1
22.44,5.656,0.063252,22.96228,7.12944,20.007,2022-02-02 23:40:00,2
30.294,5.555,0.016064,23.16468,6.63434,20.2122,2022-02-03 00:00:00,2
6.222,5.252,0.021084,22.99264,11.68436,23.9058,2022-02-03 00:20:00,1
2.448,5.05,0.092368,22.98252,6.83238,30.4722,2022-02-03 00:40:00,2
3.366,5.656,0.092368,22.72952,10.59514,31.6008,2022-02-03 01:00:00,1
2.142,5.252,0.09538,22.6182,6.53532,27.5994,2022-02-03 01:20:00,2
23.766,6.06,0.072288,22.60808,11.8824,34.6788,2022-02-03 01:40:00,1
8.16,5.151,0.056224,22.48664,9.70396,30.8826,2022-02-03 02:20:00,1
3.264,5.454,0.009036,21.98064,10.10004,28.9332,2022-02-03 03:40:00,1
0.408,5.05,0.006024,21.9604,8.51572,31.1904,2022-02-03 04:00:00,1
9.996,5.757,0.04016,21.73776,11.3873,29.241,2022-02-03 04:20:00,1
10.098,5.05,0.004016,21.61632,9.902,24.7266,2022-02-03 05:20:00,1
2.856,5.05,0.067268,21.64668,8.31768,29.4462,2022-02-03 05:40:00,1
18.666,5.454,0.011044,22.33484,8.11964,27.4968,2022-02-03 06:40:00,1
22.542,5.757,0.066264,23.50876,8.51572,22.2642,2022-02-03 07:20:00,1
2.652,5.858,0.03514,23.5796,9.50592,22.1616,2022-02-03 07:40:00,1
22.95,5.151,0.0753,24.035,6.53532,28.5228,2022-02-03 08:20:00,2
13.77,5.252,0.043172,24.31836,7.12944,30.0618,2022-02-03 08:40:00,2
20.502,5.656,0.082328,24.3386,6.63434,34.9866,2022-02-03 09:20:00,2
21.012,5.757,0.027108,24.51064,9.80298,25.2396,2022-02-03 09:40:00,1
14.484,5.656,0.079316,24.68268,8.71376,21.7512,2022-02-03 10:20:00,1
23.868,5.858,0.017068,24.68268,10.69416,23.9058,2022-02-03 10:40:00,1
14.28,5.959,0.018072,25.22916,8.4167,19.1862,2022-02-03 11:40:00,1
8.262,5.353,0.093372,25.31012,7.22846,27.702,2022-02-03 12:00:00,2
9.996,5.454,0.032128,25.43156,10.49612,20.007,2022-02-03 12:20:00,1
8.568,5.252,0.03012,25.8566,11.3873,34.371,2022-02-03 13:00:00,1
9.894,5.151,0.017068,25.94768,11.78338,30.3696,2022-02-03 13:20:00,1
29.274,5.454,0.07028,26.39296,7.62454,22.8798,2022-02-03 13:40:00,1
28.05,5.656,0.092368,26.38284,6.04022,22.1616,2022-02-03 14:00:00,2
27.132,5.454,0.073292,26.13996,5.9412,22.8798,2022-02-03 14:40:00,2
17.85,5.757,0.077308,26.059,6.9314,30.3696,2022-02-03 15:00:00,2
14.892,5.757,0.026104,25.9578,6.4363,32.832,2022-02-03 15:40:00,2
25.092,5.151,0.057228,25.67444,5.9412,26.5734,2022-02-03 16:40:00,2
23.868,5.757,0.011044,25.4518,7.9216,20.1096,2022-02-03 17:00:00,1
17.34,5.757,0.021084,25.4518,9.70396,26.3682,2022-02-03 17:20:00,1
26.928,5.151,0.03514,25.4012,10.79318,24.111,2022-02-03 17:40:00,1
23.868,5.252,0.07028,25.16844,7.72356,19.5966,2022-02-03 18:40:00,1
11.22,5.05,0.082328,24.98628,7.22846,32.2164,2022-02-03 19:00:00,2
28.968,5.858,0.053212,24.95592,10.59514,23.3928,2022-02-03 19:40:00,1
17.646,5.757,0.056224,24.794,10.00102,30.1644,2022-02-03 20:00:00,1
24.174,5.454,0.066264,23.89332,7.72356,31.1904,2022-02-03 22:00:00,1
0.612,6.06,0.063252,23.14444,11.18926,19.8018,2022-02-03 23:00:00,1
29.172,5.858,0.076304,23.11408,8.21866,34.5762,2022-02-03 23:20:00,1
7.446,5.555,0.091364,23.20516,9.10984,29.1384,2022-02-03 23:40:00,1
29.784,5.757,0.007028,22.58784,6.04022,21.6486,2022-02-04 00:00:00,2
5.508,5.656,0.08032,22.53724,9.50592,27.0864,2022-02-04 00:20:00,1
18.87,5.454,0.026104,22.18304,8.02062,32.5242,2022-02-04 01:20:00,1
25.704,5.151,0.04016,21.9098,10.00102,22.4694,2022-02-04 02:20:00,1
11.016,5.959,0.03514,21.78836,8.21866,21.6486,2022-02-04 02:40:00,1
3.264,5.959,0.07028,21.69728,9.80298,33.345,2022-02-04 03:00:00,1
14.382,5.353,0.043172,21.3532,8.4167,26.4708,2022-02-04 04:00:00,1
28.764,5.454,0.074296,21.27224,9.01082,33.1398,2022-02-04 04:40:00,1
20.91,5.858,0.09036,21.6568,10.10004,26.3682,2022-02-04 05:20:00,1
9.894,6.06,0.091364,21.73776,11.18926,23.8032,2022-02-04 05:40:00,1
9.486,5.555,0.044176,21.86932,7.03042,27.4968,2022-02-04 06:00:00,2
18.564,5.959,0.034136,22.0616,9.01082,20.8278,2022-02-04 06:20:00,1
27.336,5.757,0.099396,24.1868,7.4265,27.189,2022-02-04 07:00:00,1
23.256,5.555,0.0502,22.4158,10.10004,32.0112,2022-02-04 07:20:00,1
30.6,5.858,0.01004,22.77,8.51572,33.858,2022-02-04 08:00:00,1
16.932,5.656,0.008032,23.21528,11.28828,26.5734,2022-02-04 09:00:00,1
6.936,5.252,0.051204,23.59984,11.3873,25.8552,2022-02-04 09:20:00,1
30.294,5.05,0.072288,24.07548,6.73336,30.267,2022-02-04 10:00:00,2
6.324,5.454,0.054216,24.32848,10.49612,20.007,2022-02-04 10:20:00,1
21.114,5.454,0.066264,24.5916,10.8922,32.7294,2022-02-04 11:20:00,1
12.648,5.757,0.056224,24.63208,9.20886,29.4462,2022-02-04 11:40:00,1
27.846,5.252,0.042168,25.06724,6.13924,23.4954,2022-02-04 12:40:00,2
24.072,5.05,0.019076,25.53276,7.12944,24.624,2022-02-04 13:00:00,2
17.442,5.555,0.083332,26.24116,7.12944,20.6226,2022-02-04 13:20:00,2
27.744,5.959,0.043172,26.22092,6.73336,22.6746,2022-02-04 13:40:00,2
3.366,5.959,0.09036,26.2108,11.78338,20.7252,2022-02-04 14:00:00,1
11.016,5.959,0.036144,25.96792,9.902,33.0372,2022-02-04 14:20:00,1
24.072,5.252,0.009036,25.58336,7.9216,29.8566,2022-02-04 15:00:00,1
24.582,5.252,0.061244,25.56312,8.9118,23.4954,2022-02-04 15:20:00,1
30.192,5.252,0.06526,25.27976,9.60494,22.3668,2022-02-04 16:00:00,1
8.874,5.454,0.08032,25.17856,10.29808,25.3422,2022-02-04 16:20:00,1
13.158,5.858,0.02008,25.03688,11.09024,34.7814,2022-02-04 16:40:00,1
16.218,5.555,0.004016,24.85472,10.19906,20.9304,2022-02-04 17:20:00,1
13.668,5.858,0.097388,24.8446,8.81278,31.9086,2022-02-04 17:40:00,1
12.75,5.151,0.044176,24.67256,7.62454,32.319,2022-02-04 18:40:00,1
15.81,5.353,0.034136,24.50052,7.4265,24.9318,2022-02-04 19:20:00,1
27.132,5.858,0.017068,24.4904,11.8824,25.8552,2022-02-04 19:40:00,1
7.038,5.252,0.038152,24.07548,9.70396,22.9824,2022-02-04 20:40:00,1
15.606,5.454,0.053212,23.9844,9.30788,26.4708,2022-02-04 21:20:00,1
23.562,5.05,0.002008,23.84272,7.52552,27.4968,2022-02-04 22:00:00,1
3.366,5.05,0.089356,23.49864,8.81278,28.215,2022-02-04 22:40:00,1
26.928,5.555,0.033132,22.73964,7.82258,19.5966,2022-02-04 23:40:00,1
21.624,5.959,0.04016,22.67892,11.58534,23.7006,2022-02-05 00:00:00,1
4.182,5.252,0.07028,22.42592,10.69416,28.1124,2022-02-05 00:40:00,1
27.948,5.555,0.068272,22.28424,7.22846,25.65,2022-02-05 01:00:00,2
19.584,5.757,0.016064,22.17292,9.4069,34.371,2022-02-05 01:40:00,1
8.976,6.06,0.023092,22.0616,10.29808,23.4954,2022-02-05 02:00:00,1
7.752,6.06,0.014056,21.9098,8.9118,19.2888,2022-02-05 02:20:00,1
12.24,5.252,0.071284,21.87944,6.73336,21.6486,2022-02-05 02:40:00,2
0.918,5.454,0.073292,21.78836,8.61474,35.1918,2022-02-05 03:00:00,1
20.706,5.555,0.087348,21.758,6.4363,27.3942,2022-02-05 03:20:00,2
2.04,5.555,0.01004,21.7074,10.3971,30.6774,2022-02-05 03:40:00,1
28.356,5.656,0.071284,21.36332,11.78338,30.78,2022-02-05 04:40:00,1
5.916,5.353,0.082328,21.27224,10.59514,30.1644,2022-02-05 05:00:00,1
14.28,5.05,0.01506,21.41392,10.29808,32.2164,2022-02-05 05:40:00,1
28.764,5.555,0.034136,21.63656,11.3873,26.9838,2022-02-05 06:00:00,1
2.346,5.858,0.013052,21.81872,9.50592,31.0878,2022-02-05 06:40:00,1
20.196,5.151,0.087348,21.97052,10.69416,27.3942,2022-02-05 07:00:00,1
12.75,5.656,0.088352,24.27788,7.32748,24.4188,2022-02-05 07:20:00,1
13.872,5.757,0.059236,24.51064,7.22846,28.6254,2022-02-05 07:40:00,2
1.632,5.959,0.009036,24.63208,7.72356,31.0878,2022-02-05 08:00:00,1
10.608,5.252,0.093372,24.85472,10.49612,25.8552,2022-02-05 08:20:00,1
26.724,5.151,0.08534,25.07736,7.12944,31.6008,2022-02-05 08:40:00,2
14.892,5.959,0.092368,25.12796,8.71376,26.2656,2022-02-05 09:00:00,1
23.562,5.05,0.08534,25.26964,9.60494,28.9332,2022-02-05 09:40:00,1
26.622,5.05,0.09036,25.27976,8.31768,21.2382,2022-02-05 10:00:00,1
17.442,5.05,0.094376,25.28988,11.68436,22.8798,2022-02-05 10:20:00,1
12.75,5.05,0.073292,25.46192,7.12944,19.3914,2022-02-05 11:00:00,2
29.478,5.858,0.053212,25.48216,8.9118,34.2684,2022-02-05 11:20:00,1
25.5,5.656,0.012048,25.51252,9.902,24.2136,2022-02-05 11:40:00,1
26.724,5.05,0.043172,25.96792,6.23826,30.78,2022-02-05 12:40:00,2
23.562,5.252,0.022088,25.81612,9.50592,33.858,2022-02-05 14:20:00,1
27.336,5.353,0.057228,25.72504,6.9314,20.9304,2022-02-05 14:40:00,2
20.502,5.454,0.041164,25.68456,8.71376,27.8046,2022-02-05 15:00:00,1
0.204,6.06,0.066264,25.62384,8.51572,31.1904,2022-02-05 15:40:00,1
21.216,5.454,0.052208,25.38096,10.69416,25.2396,2022-02-05 16:20:00,1
7.038,5.555,0.017068,25.36072,8.61474,29.5488,2022-02-05 16:40:00,1
4.998,5.959,0.066264,25.1482,7.72356,33.9606,2022-02-05 17:40:00,1
22.032,5.05,0.099396,24.47016,10.00102,31.6008,2022-02-05 19:20:00,1
21.318,6.06,0.001004,24.3892,7.9216,31.293,2022-02-05 20:00:00,1
13.464,5.555,0.07028,24.19692,6.04022,32.1138,2022-02-05 20:20:00,2
16.422,6.06,0.09036,24.00464,6.53532,32.7294,2022-02-05 20:40:00,2
11.73,5.454,0.071284,23.87308,6.33728,31.7034,2022-02-05 21:20:00,2
18.768,5.05,0.034136,23.69092,7.9216,34.5762,2022-02-05 21:40:00,1
22.338,5.858,0.004016,23.529,10.29808,31.9086,2022-02-05 22:20:00,1
16.626,5.151,0.014056,23.23552,9.80298,23.4954,2022-02-05 22:40:00,1
21.828,5.555,0.054216,23.13432,10.3971,24.5214,2022-02-05 23:00:00,1
5.304,5.353,0.026104,23.11408,9.4069,22.8798,2022-02-05 23:20:00,1
16.728,5.353,0.003012,23.01288,9.902,30.8826,2022-02-05 23:40:00,1
29.478,5.454,0.033132,22.73964,6.33728,25.4448,2022-02-06 00:00:00,2
25.398,5.05,0.044176,22.72952,9.60494,22.2642,2022-02-06 00:20:00,1
9.282,5.05,0.01004,22.63844,11.18926,27.4968,2022-02-06 00:40:00,1
19.89,6.06,0.098392,22.60808,6.83238,28.6254,2022-02-06 01:00:00,2
24.378,5.252,0.082328,22.58784,10.19906,26.2656,2022-02-06 01:20:00,1
8.262,6.06,0.03514,22.52712,6.53532,30.6774,2022-02-06 01:40:00,2
10.2,5.454,0.016064,22.27412,9.30788,30.1644,2022-02-06 02:00:00,1
29.58,5.858,0.053212,22.23364,8.51572,25.137,2022-02-06 02:20:00,1
4.182,5.252,0.00502,22.08184,9.902,31.0878,2022-02-06 02:40:00,1
14.79,5.959,0.057228,21.82884,9.80298,35.1918,2022-02-06 03:20:00,1
12.852,5.05,0.077308,21.68716,8.4167,22.8798,2022-02-06 03:40:00,1
9.588,5.656,0.082328,21.61632,9.60494,31.9086,2022-02-06 04:00:00,1
12.75,5.151,0.061244,21.53536,9.01082,26.5734,2022-02-06 04:20:00,1
11.934,5.151,0.04518,21.3026,8.31768,19.2888,2022-02-06 05:00:00,1
10.812,5.858,0.097388,21.3532,8.81278,22.7772,2022-02-06 05:20:00,1
22.644,5.05,0.068272,21.43416,7.72356,21.6486,2022-02-06 05:40:00,1
1.734,5.151,0.083332,21.44428,6.04022,35.2944,2022-02-06 06:00:00,2
22.848,5.454,0.004016,21.83896,6.53532,20.7252,2022-02-06 07:00:00,2
25.602,5.858,0.08534,22.19316,6.13924,30.5748,2022-02-06 07:20:00,2
11.424,5.151,0.048192,22.25388,11.58534,29.241,2022-02-06 07:40:00,1
23.154,5.454,0.039156,22.33484,11.09024,31.3956,2022-02-06 08:00:00,1
29.274,5.555,0.00502,22.47652,9.10984,34.1658,2022-02-06 08:20:00,1
4.386,6.06,0.06024,22.48664,8.81278,26.676,2022-02-06 08:40:00,1
9.282,5.959,0.091364,22.6688,6.73336,34.4736,2022-02-06 09:00:00,2
29.58,5.757,0.04518,23.1748,9.30788,28.215,2022-02-06 09:20:00,1
4.998,5.959,0.08534,23.64032,10.49612,24.4188,2022-02-06 09:40:00,1
3.06,5.252,0.072288,23.66056,6.73336,29.0358,2022-02-06 10:00:00,2
2.244,5.05,0.064256,23.87308,6.4363,29.8566,2022-02-06 11:00:00,2
10.608,5.252,0.013052,23.8832,7.32748,30.267,2022-02-06 11:20:00,1
12.24,5.757,0.057228,24.65232,10.69416,24.7266,2022-02-06 12:00:00,1
8.976,5.858,0.032128,25.26964,8.71376,23.1876,2022-02-06 12:40:00,1
5.61,5.151,0.092368,25.553,8.21866,33.2424,2022-02-06 13:00:00,1
12.648,6.06,0.067268,25.79588,8.51572,35.1918,2022-02-06 13:20:00,1
28.356,5.353,0.082328,26.11972,9.902,32.4216,2022-02-06 14:40:00,1
9.588,5.252,0.046184,26.01852,6.73336,28.215,2022-02-06 15:00:00,2
10.71,5.858,0.0753,26.0084,11.58534,22.572,2022-02-06 15:20:00,1
10.812,5.252,0.017068,25.31012,8.4167,19.8018,2022-02-06 16:40:00,1
1.326,5.858,0.098392,25.22916,6.04022,27.5994,2022-02-06 17:20:00,2
9.588,5.959,0.018072,25.15832,11.78338,30.1644,2022-02-06 17:40:00,1
28.356,5.05,0.077308,25.1482,11.18926,27.2916,2022-02-06 18:00:00,1
10.608,5.555,0.028112,25.03688,9.30788,21.4434,2022-02-06 18:20:00,1
0.714,6.06,0.057228,24.76364,8.21866,22.8798,2022-02-06 19:00:00,1
17.646,5.959,0.076304,24.63208,8.9118,25.4448,2022-02-06 19:40:00,1
17.748,5.959,0.052208,24.61184,8.4167,32.319,2022-02-06 20:00:00,1
30.09,6.06,0.009036,23.66056,9.10984,32.4216,2022-02-06 21:00:00,1
22.95,5.252,0.079316,23.38732,10.49612,31.3956,2022-02-06 21:40:00,1
15.708,5.555,0.049196,23.30636,10.99122,25.137,2022-02-06 22:00:00,1
24.072,5.757,0.091364,23.24564,10.69416,19.3914,2022-02-06 22:20:00,1
1.326,5.252,0.019076,23.08372,11.28828,21.1356,2022-02-06 22:40:00,1
2.55,5.656,0.072288,23.023,10.69416,28.1124,2022-02-06 23:20:00,1
25.398,5.656,0.076304,23.08372,6.4363,22.4694,2022-02-07 00:00:00,2
9.792,6.06,0.054216,22.95216,11.8824,24.7266,2022-02-07 00:20:00,1
12.036,5.05,0.09036,22.88132,6.04022,30.78,2022-02-07 00:40:00,2
30.396,5.454,0.071284,22.72952,6.13924,21.6486,2022-02-07 01:00:00,2
10.2,5.05,0.04016,22.60808,11.68436,25.9578,2022-02-07 01:20:00,1
19.176,5.353,0.002008,22.23364,8.81278,26.163,2022-02-07 01:40:00,1
5.1,5.959,0.1004,22.18304,9.10984,21.033,2022-02-07 02:00:00,1
20.196,5.252,0.002008,22.03124,7.52552,33.345,2022-02-07 02:40:00,1
30.192,5.454,0.044176,21.758,10.59514,34.9866,2022-02-07 03:00:00,1
3.468,5.858,0.036144,21.67704,6.13924,33.1398,2022-02-07 03:20:00,2
4.59,5.858,0.033132,21.66692,8.21866,29.5488,2022-02-07 03:40:00,1
8.16,5.252,0.09036,21.49488,6.33728,30.4722,2022-02-07 04:00:00,2
11.832,5.959,0.072288,21.43416,10.69416,22.9824,2022-02-07 04:20:00,1
28.662,5.252,0.081324,21.41392,11.28828,20.9304,2022-02-07 05:00:00,1
0.0,5.959,0.018072,21.53536,7.72356,24.4188,2022-02-07 05:20:00,1
23.562,5.959,0.046184,21.53536,7.52552,21.4434,2022-02-07 05:40:00,1
8.67,6.06,0.023092,21.72764,9.01082,22.6746,2022-02-07 06:00:00,1
21.522,6.06,0.088352,22.12232,6.33728,35.0892,2022-02-07 06:20:00,2
7.14,5.05,0.028112,22.68904,10.8922,23.085,2022-02-07 06:40:00,1
25.908,5.353,0.077308,22.78012,10.99122,31.9086,2022-02-07 07:40:00,1
12.75,5.353,0.094376,22.93192,6.04022,22.1616,2022-02-07 08:00:00,2
10.404,5.757,0.098392,23.08372,10.10004,20.52,2022-02-07 08:20:00,1
28.968,5.656,0.03514,23.54924,7.62454,32.832,2022-02-07 09:40:00,1
27.642,5.959,0.097388,24.24752,7.32748,33.0372,2022-02-07 10:00:00,1
17.85,5.555,0.071284,24.39932,8.61474,32.1138,2022-02-07 10:20:00,1
5.406,5.252,0.073292,24.96604,9.902,29.4462,2022-02-07 11:00:00,1
8.568,6.06,0.093372,25.31012,10.00102,32.5242,2022-02-07 11:40:00,1
12.546,5.252,0.011044,25.59348,10.29808,21.8538,2022-02-07 12:00:00,1
15.708,5.555,0.038152,25.61372,11.28828,21.7512,2022-02-07 12:20:00,1
10.812,5.656,0.092368,25.6542,10.49612,20.3148,2022-02-07 12:40:00,1
7.14,5.05,0.07028,26.27152,11.78338,33.2424,2022-02-07 13:40:00,1
8.262,5.858,0.048192,25.9072,11.28828,26.163,2022-02-07 14:00:00,1
21.828,6.06,0.01004,25.7048,9.4069,30.78,2022-02-07 14:40:00,1
0.204,5.858,0.067268,25.64408,7.52552,30.6774,2022-02-07 15:00:00,1
3.672,5.454,0.04016,25.53276,8.61474,22.9824,2022-02-07 15:40:00,1
19.278,5.858,0.084336,25.52264,7.22846,34.5762,2022-02-07 16:00:00,2
29.682,5.858,0.017068,25.23928,10.3971,26.676,2022-02-07 16:20:00,1
6.834,6.06,0.0753,25.08748,6.53532,29.4462,2022-02-07 17:00:00,2
15.504,5.555,0.007028,24.87496,10.29808,28.6254,2022-02-07 17:20:00,1
13.566,5.151,0.008032,24.87496,8.21866,30.9852,2022-02-07 17:40:00,1
16.83,5.858,0.087348,24.71304,7.22846,22.3668,2022-02-07 18:20:00,2
18.462,5.454,0.063252,24.50052,8.9118,24.9318,2022-02-07 19:20:00,1
15.708,5.252,0.034136,24.41956,10.79318,30.4722,2022-02-07 20:00:00,1
24.378,5.151,0.06024,24.29812,6.33728,27.4968,2022-02-07 20:20:00,2
19.89,5.151,0.073292,24.15644,9.30788,33.5502,2022-02-07 20:40:00,1
19.584,5.353,0.068272,23.95404,8.11964,28.5228,2022-02-07 22:00:00,1
